time_ns,victim_mV,aggressor_mV,source_V
0.5,2.46139614e-05,-6.87012485e-05,0
0.501,-2.46419285e-05,6.87779426e-05,0
0.502,2.4669956e-05,-6.88548002e-05,0
0.503,-2.46980441e-05,6.89318212e-05,0
0.504,2.47261931e-05,-6.90090067e-05,0
0.505,-2.47544031e-05,6.9086357e-05,0
0.506,2.47826744e-05,-6.91638728e-05,0
0.507,-2.48110072e-05,6.92415543e-05,0
0.508,2.48394014e-05,-6.93194025e-05,0
0.509,-2.48678574e-05,6.93974173e-05,0
0.51,2.48963756e-05,-6.94755998e-05,0
0.511,-2.4924956e-05,6.95539502e-05,0
0.512,2.49535988e-05,-6.96324694e-05,0
0.513,-2.49823041e-05,6.97111575e-05,0
0.514,2.50110725e-05,-6.97900154e-05,0
0.515,-2.50399037e-05,6.98690432e-05,0
0.516,2.50687983e-05,-6.99482423e-05,0
0.517,-2.50977562e-05,7.00276123e-05,0
0.518,2.51267779e-05,-7.01071543e-05,0
0.519,-2.51558635e-05,7.01868682e-05,0
0.52,2.5185013e-05,-7.02667555e-05,0
0.521,-2.52142269e-05,7.03468163e-05,0
0.522,2.52435053e-05,-7.04270512e-05,0
0.523,-2.52728484e-05,7.05074605e-05,0
0.524,2.53022564e-05,-7.05880454e-05,0
0.525,-2.53317296e-05,7.06688057e-05,0
0.526,2.5361268e-05,-7.07497426e-05,0
0.527,-2.53908722e-05,7.08308562e-05,0
0.528,2.5420542e-05,-7.09121475e-05,0
0.529,-2.54502778e-05,7.09936169e-05,0
0.53,2.548008e-05,-7.10752648e-05,0
0.531,-2.55099484e-05,7.11570918e-05,0
0.532,2.55398837e-05,-7.12390992e-05,0
0.533,-2.55698857e-05,7.13212865e-05,0
0.534,2.55999549e-05,-7.14036552e-05,0
0.535,-2.56300914e-05,7.14862052e-05,0
0.536,2.56602955e-05,-7.15689377e-05,0
0.537,-2.56905673e-05,7.1651853e-05,0
0.538,2.57209072e-05,-7.17349514e-05,0
0.539,-2.57513153e-05,7.18182339e-05,0
0.54,2.57817917e-05,-7.19017011e-05,0
0.541,-2.58123371e-05,7.19853535e-05,0
0.542,2.58429511e-05,-7.20691919e-05,0
0.543,-2.58736346e-05,7.21532165e-05,0
0.544,2.59043872e-05,-7.22374285e-05,0
0.545,-2.59352095e-05,7.23218279e-05,0
0.546,2.59661018e-05,-7.2406416e-05,0
0.547,-2.5997064e-05,7.24911928e-05,0
0.548,2.60280966e-05,-7.25761593e-05,0
0.549,-2.60591997e-05,7.26613159e-05,0
0.55,2.60903737e-05,-7.27466635e-05,0
0.551,-2.61216188e-05,7.28322024e-05,0
0.552,2.6152935e-05,-7.29179335e-05,0
0.553,-2.61843229e-05,7.30038575e-05,0
0.554,2.62157825e-05,-7.30899748e-05,0
0.555,-2.62473142e-05,7.31762862e-05,0
0.556,2.6278918e-05,-7.32627925e-05,0
0.557,-2.63105945e-05,7.33494939e-05,0
0.558,2.63423436e-05,-7.34363917e-05,0
0.559,-2.63741658e-05,7.35234859e-05,0
0.56,2.64060613e-05,-7.36107775e-05,0
0.561,-2.64380301e-05,7.36982672e-05,0
0.562,2.64700729e-05,-7.37859556e-05,0
0.563,-2.65021897e-05,7.38738435e-05,0
0.564,2.65343806e-05,-7.39619314e-05,0
0.565,-2.65666462e-05,7.405022e-05,0
0.566,2.65989864e-05,-7.413871e-05,0
0.567,-2.66314018e-05,7.42274023e-05,0
0.568,2.66638924e-05,-7.4316297e-05,0
0.569,-2.66964586e-05,7.44053956e-05,0
0.57,2.67291007e-05,-7.44946982e-05,0
0.571,-2.67618189e-05,7.45842056e-05,0
0.572,2.67946133e-05,-7.46739188e-05,0
0.573,-2.68274844e-05,7.47638381e-05,0
0.574,2.68604324e-05,-7.48539644e-05,0
0.575,-2.68934575e-05,7.49442984e-05,0
0.576,2.692656e-05,-7.5034841e-05,0
0.577,-2.69597402e-05,7.51255928e-05,0
0.578,2.69929985e-05,-7.52165542e-05,0
0.579,-2.7026335e-05,7.53077262e-05,0
0.58,2.70597499e-05,-7.53991099e-05,0
0.581,-2.70932437e-05,7.54907053e-05,0
0.582,2.71268164e-05,-7.55825137e-05,0
0.583,-2.71604686e-05,7.56745353e-05,0
0.584,2.71942003e-05,-7.57667715e-05,0
0.585,-2.7228012e-05,7.58592224e-05,0
0.586,2.72619039e-05,-7.59518891e-05,0
0.587,-2.72958763e-05,7.60447725e-05,0
0.588,2.73299293e-05,-7.61378732e-05,0
0.589,-2.73640635e-05,7.62311917e-05,0
0.59,2.73982789e-05,-7.63247291e-05,0
0.591,-2.7432576e-05,7.6418486e-05,0
0.592,2.7466955e-05,-7.65124633e-05,0
0.593,-2.75014161e-05,7.66066617e-05,0
0.594,2.75359598e-05,-7.67010819e-05,0
0.595,-2.75705863e-05,7.67957246e-05,0
0.596,2.76052959e-05,-7.6890591e-05,0
0.597,-2.76400887e-05,7.69856816e-05,0
0.598,2.76749653e-05,-7.70809972e-05,0
0.599,-2.77099259e-05,7.71765384e-05,0
0.6,2.77449707e-05,-7.72723065e-05,0
0.601,-2.77801002e-05,7.73683019e-05,0
0.602,2.78153145e-05,-7.74645255e-05,0
0.603,-2.7850614e-05,7.75609781e-05,0
0.604,2.7885999e-05,-7.76576605e-05,0
0.605,-2.79214699e-05,7.77545736e-05,0
0.606,2.79570268e-05,-7.78517183e-05,0
0.607,-2.79926702e-05,7.79490952e-05,0
0.608,2.80284003e-05,-7.80467052e-05,0
0.609,-2.80642174e-05,7.81445492e-05,0
0.61,2.81001221e-05,-7.82426281e-05,0
0.611,-2.81361142e-05,7.83409425e-05,0
0.612,2.81721945e-05,-7.84394936e-05,0
0.613,-2.82083631e-05,7.85382819e-05,0
0.614,2.82446203e-05,-7.86373085e-05,0
0.615,-2.82809666e-05,7.8736574e-05,0
0.616,2.83174021e-05,-7.88360795e-05,0
0.617,-2.83539272e-05,7.89358258e-05,0
0.618,2.83905425e-05,-7.90358137e-05,0
0.619,-2.84272479e-05,7.91360441e-05,0
0.62,2.84640439e-05,-7.92365182e-05,0
0.621,-2.8500931e-05,7.93372363e-05,0
0.622,2.85379092e-05,-7.94381999e-05,0
0.623,-2.85749792e-05,7.95394092e-05,0
0.624,2.86121411e-05,-7.96408655e-05,0
0.625,-2.86493952e-05,7.97425699e-05,0
0.626,2.86867422e-05,-7.9844523e-05,0
0.627,-2.87241821e-05,7.99467257e-05,0
0.628,2.87617153e-05,-8.00491792e-05,0
0.629,-2.87993423e-05,8.0151884e-05,0
0.63,2.88370632e-05,-8.02548413e-05,0
0.631,-2.88748785e-05,8.03580519e-05,0
0.632,2.89127886e-05,-8.0461517e-05,0
0.633,-2.89507937e-05,8.05652373e-05,0
0.634,2.89888944e-05,-8.06692136e-05,0
